trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,4,-85.39866192157672,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,15,12.604833172991121,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,-155.51762140385654,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,9,-94.69441319846533,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,3,1.894566201449519,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,7,-8.133242584029123,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-136.9975011966253,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,20,9.880333305802406,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,4,-134.1014907069881,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 3}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,4,0.25600923151523447,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,12,-48.38550137985681,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,18,-18.92317418752185,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,3,-81.25861356089588,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",30,13,20.506757939877712,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-133.19247013702204,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,-62.64471445109531,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-29.41543029984316,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",35,5,-59.87329967259337,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,4,-19.20848383858478,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,6,-32.70275173025352,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,14,0.04715344342256733,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,11,14.586189056508715,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",35,11,-62.38442048146574,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,10,-36.28126878406236,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,1,9.402599769402423,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",30,20,9.427013942985067,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,12,5.574132545972585,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,8,12.019750213905436,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,18,16.23013050878587,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",30,20,-40.11948149087045,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,4,-28.12450541776993,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,2,4.750833715523421,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,12,-20.310436969079046,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,18,7.476381141252187,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-119.7662982280584,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,4,-11.223197905216836,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,11,-15.225557003406973,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,10,-15.202028881563875,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,21.847503170185437,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,0,-62.06336181813029,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,7,-41.131646330985475,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,12,-31.584362925067826,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,4,-52.379869425495244,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-39.1706087241118,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,0,-51.114746973560564,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",30,15,-31.298870586648608,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,8,-8.24123821221822,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,0,-72.82682657587857,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,11.656595735601925,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,-19.147959001705747,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,3,-111.25249281361478,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,4,-81.05775064640137,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-92.3370823142914,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,13,-39.82210343222123,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,17.696343329577363,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,0,-2.464208644583698,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,0,-41.20862468877454,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,9,-29.24770971967288,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,14,-18.436739928026782,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",30,18,-24.797439960899727,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,16,-69.21423289910466,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,20,6.430642375648688,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,7,-15.239375187024088,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,4,5.584032685123142,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,0,5.016968532350051,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,0,-31.171821003565903,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,11.135130809779232,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,19.12070248615634,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,7,-10.872733893943373,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,12,3.6549489648456523,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,19,9.657491764400191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,9,1.8357566590012995,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,13,14.60031539015573,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,19,7.723402134048516,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,12,16.074342506568822,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,2,-17.991513496488516,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,7,-68.59404901772481,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",25,0,-28.523028283290984,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,14,-7.6175362610895965,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,12,14.981452087150231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,11,-5.4472715751824365,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,10,-24.80061985760872,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,4,-56.731260387513686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,11,26.92195572491273,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,11,-26.968423898481714,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",30,15,-15.857206310865001,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,12,12.503436630837202,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,4,7.01786504309786,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,16,26.134427411330922,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,11,17.903747984874887,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
